==================== [ 데이터 갱신 완료 ] ====================

2024-08-06 14:47:22.747390 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3621000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:48:27.516805 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3622000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:49:32.060371 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3630000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:50:37.025534 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3629000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:51:42.657776 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3631000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:52:48.689009 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3630000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:53:53.302740 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3627000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:54:57.588106 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3630000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:56:01.660124 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3627000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:57:06.196449 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3626000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:58:11.330004 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3626000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 14:59:15.632093 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3631000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:00:20.727016 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3629000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:01:25.875056 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3624000.0 	MA5 : 4019200.0 	Buy_yn : False
2024-08-06 15:02:29.983051 	openTime : 2024-08-07 09:00:10 	Target : 3811642.743056236 	Current : 3628000.0 	MA5 : 4019200.0 	Buy_yn : False
